#Duplication rate	Coverage
1.0	19246.0
2.0	5309.0
3.0	1807.0
4.0	1125.0
5.0	604.0
6.0	514.0
7.0	340.0
8.0	285.0
9.0	208.0
10.0	182.0
11.0	148.0
12.0	148.0
13.0	94.0
14.0	113.0
15.0	80.0
16.0	101.0
17.0	72.0
18.0	66.0
19.0	57.0
20.0	60.0
21.0	55.0
22.0	41.0
23.0	69.0
24.0	42.0
25.0	30.0
26.0	36.0
27.0	41.0
28.0	39.0
29.0	35.0
30.0	28.0
31.0	31.0
32.0	26.0
33.0	27.0
34.0	23.0
35.0	23.0
36.0	21.0
37.0	23.0
38.0	24.0
39.0	17.0
40.0	23.0
41.0	22.0
42.0	16.0
43.0	11.0
44.0	10.0
45.0	14.0
46.0	15.0
47.0	21.0
48.0	8.0
49.0	22.0
50.0	1657.0
