#Duplication rate	Coverage
1.0	22901.0
2.0	6526.0
3.0	2526.0
4.0	1417.0
5.0	860.0
6.0	615.0
7.0	419.0
8.0	316.0
9.0	260.0
10.0	235.0
11.0	182.0
12.0	138.0
13.0	145.0
14.0	138.0
15.0	100.0
16.0	108.0
17.0	96.0
18.0	79.0
19.0	80.0
20.0	64.0
21.0	59.0
22.0	60.0
23.0	59.0
24.0	52.0
25.0	40.0
26.0	35.0
27.0	35.0
28.0	46.0
29.0	43.0
30.0	39.0
31.0	28.0
32.0	36.0
33.0	28.0
34.0	28.0
35.0	28.0
36.0	26.0
37.0	25.0
38.0	25.0
39.0	22.0
40.0	30.0
41.0	30.0
42.0	18.0
43.0	24.0
44.0	20.0
45.0	15.0
46.0	17.0
47.0	16.0
48.0	14.0
49.0	23.0
50.0	1785.0
