#Duplication rate	Coverage
1.0	12155.0
2.0	2702.0
3.0	975.0
4.0	616.0
5.0	351.0
6.0	279.0
7.0	196.0
8.0	143.0
9.0	112.0
10.0	121.0
11.0	102.0
12.0	75.0
13.0	75.0
14.0	76.0
15.0	58.0
16.0	43.0
17.0	40.0
18.0	45.0
19.0	43.0
20.0	28.0
21.0	34.0
22.0	33.0
23.0	34.0
24.0	31.0
25.0	23.0
26.0	28.0
27.0	31.0
28.0	22.0
29.0	22.0
30.0	17.0
31.0	11.0
32.0	24.0
33.0	17.0
34.0	14.0
35.0	16.0
36.0	9.0
37.0	7.0
38.0	12.0
39.0	10.0
40.0	11.0
41.0	10.0
42.0	8.0
43.0	11.0
44.0	8.0
45.0	6.0
46.0	6.0
47.0	11.0
48.0	6.0
49.0	3.0
50.0	1249.0
