#Duplication rate	Coverage
1.0	12659.0
2.0	2791.0
3.0	1028.0
4.0	576.0
5.0	377.0
6.0	257.0
7.0	215.0
8.0	154.0
9.0	145.0
10.0	116.0
11.0	96.0
12.0	103.0
13.0	75.0
14.0	73.0
15.0	53.0
16.0	51.0
17.0	38.0
18.0	48.0
19.0	55.0
20.0	40.0
21.0	35.0
22.0	42.0
23.0	23.0
24.0	20.0
25.0	25.0
26.0	22.0
27.0	26.0
28.0	23.0
29.0	23.0
30.0	18.0
31.0	16.0
32.0	21.0
33.0	22.0
34.0	15.0
35.0	19.0
36.0	16.0
37.0	15.0
38.0	13.0
39.0	12.0
40.0	7.0
41.0	8.0
42.0	11.0
43.0	10.0
44.0	8.0
45.0	6.0
46.0	6.0
47.0	10.0
48.0	3.0
49.0	7.0
50.0	1257.0
