#Duplication rate	Coverage
1.0	17982.0
2.0	4465.0
3.0	1535.0
4.0	926.0
5.0	538.0
6.0	409.0
7.0	299.0
8.0	221.0
9.0	186.0
10.0	156.0
11.0	137.0
12.0	143.0
13.0	95.0
14.0	109.0
15.0	81.0
16.0	59.0
17.0	79.0
18.0	66.0
19.0	51.0
20.0	61.0
21.0	59.0
22.0	51.0
23.0	36.0
24.0	41.0
25.0	34.0
26.0	44.0
27.0	37.0
28.0	27.0
29.0	28.0
30.0	36.0
31.0	23.0
32.0	26.0
33.0	24.0
34.0	15.0
35.0	23.0
36.0	29.0
37.0	14.0
38.0	23.0
39.0	13.0
40.0	23.0
41.0	20.0
42.0	22.0
43.0	12.0
44.0	13.0
45.0	18.0
46.0	13.0
47.0	9.0
48.0	17.0
49.0	13.0
50.0	1559.0
