#Duplication rate	Coverage
1.0	11683.0
2.0	2664.0
3.0	935.0
4.0	550.0
5.0	335.0
6.0	259.0
7.0	193.0
8.0	176.0
9.0	116.0
10.0	125.0
11.0	95.0
12.0	91.0
13.0	78.0
14.0	51.0
15.0	61.0
16.0	65.0
17.0	51.0
18.0	39.0
19.0	41.0
20.0	36.0
21.0	39.0
22.0	34.0
23.0	37.0
24.0	35.0
25.0	36.0
26.0	14.0
27.0	22.0
28.0	31.0
29.0	25.0
30.0	20.0
31.0	16.0
32.0	21.0
33.0	19.0
34.0	17.0
35.0	10.0
36.0	14.0
37.0	16.0
38.0	7.0
39.0	11.0
40.0	11.0
41.0	7.0
42.0	4.0
43.0	8.0
44.0	5.0
45.0	6.0
46.0	7.0
47.0	1.0
48.0	7.0
49.0	3.0
50.0	1217.0
