#Duplication rate	Coverage
1.0	29533.0
2.0	9087.0
3.0	3686.0
4.0	2076.0
5.0	1228.0
6.0	891.0
7.0	557.0
8.0	504.0
9.0	368.0
10.0	348.0
11.0	276.0
12.0	214.0
13.0	189.0
14.0	209.0
15.0	162.0
16.0	128.0
17.0	107.0
18.0	119.0
19.0	111.0
20.0	94.0
21.0	81.0
22.0	76.0
23.0	65.0
24.0	67.0
25.0	63.0
26.0	62.0
27.0	56.0
28.0	53.0
29.0	47.0
30.0	45.0
31.0	35.0
32.0	46.0
33.0	42.0
34.0	29.0
35.0	32.0
36.0	31.0
37.0	36.0
38.0	37.0
39.0	36.0
40.0	26.0
41.0	18.0
42.0	26.0
43.0	23.0
44.0	25.0
45.0	19.0
46.0	23.0
47.0	19.0
48.0	21.0
49.0	34.0
50.0	2232.0
