#Duplication rate	Coverage
1.0	16078.0
2.0	3920.0
3.0	1384.0
4.0	814.0
5.0	468.0
6.0	359.0
7.0	265.0
8.0	204.0
9.0	163.0
10.0	131.0
11.0	108.0
12.0	104.0
13.0	95.0
14.0	95.0
15.0	82.0
16.0	73.0
17.0	73.0
18.0	62.0
19.0	54.0
20.0	54.0
21.0	61.0
22.0	50.0
23.0	33.0
24.0	40.0
25.0	23.0
26.0	32.0
27.0	30.0
28.0	24.0
29.0	37.0
30.0	29.0
31.0	27.0
32.0	14.0
33.0	21.0
34.0	26.0
35.0	20.0
36.0	21.0
37.0	19.0
38.0	17.0
39.0	19.0
40.0	20.0
41.0	15.0
42.0	15.0
43.0	17.0
44.0	12.0
45.0	14.0
46.0	11.0
47.0	10.0
48.0	8.0
49.0	15.0
50.0	1429.0
