#Duplication rate	Coverage
1.0	23630.0
2.0	6650.0
3.0	2494.0
4.0	1489.0
5.0	822.0
6.0	629.0
7.0	403.0
8.0	336.0
9.0	262.0
10.0	227.0
11.0	223.0
12.0	167.0
13.0	139.0
14.0	138.0
15.0	104.0
16.0	94.0
17.0	73.0
18.0	91.0
19.0	57.0
20.0	63.0
21.0	56.0
22.0	68.0
23.0	51.0
24.0	41.0
25.0	49.0
26.0	61.0
27.0	39.0
28.0	42.0
29.0	26.0
30.0	38.0
31.0	40.0
32.0	31.0
33.0	30.0
34.0	23.0
35.0	34.0
36.0	25.0
37.0	23.0
38.0	25.0
39.0	30.0
40.0	25.0
41.0	26.0
42.0	30.0
43.0	21.0
44.0	11.0
45.0	28.0
46.0	17.0
47.0	27.0
48.0	18.0
49.0	23.0
50.0	1875.0
