#Duplication rate	Coverage
1.0	21824.0
2.0	5726.0
3.0	2237.0
4.0	1204.0
5.0	684.0
6.0	547.0
7.0	372.0
8.0	296.0
9.0	230.0
10.0	214.0
11.0	164.0
12.0	149.0
13.0	131.0
14.0	130.0
15.0	105.0
16.0	92.0
17.0	79.0
18.0	80.0
19.0	74.0
20.0	71.0
21.0	60.0
22.0	73.0
23.0	46.0
24.0	49.0
25.0	40.0
26.0	43.0
27.0	29.0
28.0	49.0
29.0	32.0
30.0	41.0
31.0	26.0
32.0	29.0
33.0	28.0
34.0	15.0
35.0	22.0
36.0	30.0
37.0	19.0
38.0	28.0
39.0	19.0
40.0	26.0
41.0	25.0
42.0	25.0
43.0	18.0
44.0	16.0
45.0	25.0
46.0	23.0
47.0	11.0
48.0	13.0
49.0	14.0
50.0	1725.0
