#Duplication rate	Coverage
1.0	11020.0
2.0	2583.0
3.0	869.0
4.0	547.0
5.0	330.0
6.0	221.0
7.0	182.0
8.0	153.0
9.0	108.0
10.0	121.0
11.0	96.0
12.0	56.0
13.0	77.0
14.0	70.0
15.0	45.0
16.0	45.0
17.0	44.0
18.0	36.0
19.0	40.0
20.0	25.0
21.0	22.0
22.0	35.0
23.0	35.0
24.0	22.0
25.0	26.0
26.0	16.0
27.0	26.0
28.0	23.0
29.0	12.0
30.0	13.0
31.0	19.0
32.0	14.0
33.0	21.0
34.0	16.0
35.0	6.0
36.0	11.0
37.0	11.0
38.0	15.0
39.0	9.0
40.0	8.0
41.0	14.0
42.0	10.0
43.0	6.0
44.0	13.0
45.0	7.0
46.0	7.0
47.0	6.0
48.0	8.0
49.0	6.0
50.0	1231.0
