#Duplication rate	Coverage
1.0	17737.0
2.0	4394.0
3.0	1541.0
4.0	914.0
5.0	555.0
6.0	422.0
7.0	295.0
8.0	243.0
9.0	194.0
10.0	167.0
11.0	116.0
12.0	122.0
13.0	102.0
14.0	76.0
15.0	80.0
16.0	75.0
17.0	69.0
18.0	72.0
19.0	68.0
20.0	49.0
21.0	54.0
22.0	60.0
23.0	40.0
24.0	44.0
25.0	42.0
26.0	29.0
27.0	28.0
28.0	25.0
29.0	31.0
30.0	26.0
31.0	18.0
32.0	31.0
33.0	15.0
34.0	23.0
35.0	17.0
36.0	24.0
37.0	22.0
38.0	11.0
39.0	17.0
40.0	15.0
41.0	14.0
42.0	16.0
43.0	16.0
44.0	17.0
45.0	16.0
46.0	18.0
47.0	11.0
48.0	13.0
49.0	8.0
50.0	1532.0
