#Duplication rate	Coverage
1.0	29028.0
2.0	8407.0
3.0	3423.0
4.0	1903.0
5.0	1113.0
6.0	862.0
7.0	662.0
8.0	452.0
9.0	326.0
10.0	318.0
11.0	226.0
12.0	233.0
13.0	178.0
14.0	174.0
15.0	146.0
16.0	118.0
17.0	107.0
18.0	117.0
19.0	108.0
20.0	93.0
21.0	73.0
22.0	78.0
23.0	70.0
24.0	64.0
25.0	50.0
26.0	51.0
27.0	43.0
28.0	56.0
29.0	47.0
30.0	47.0
31.0	46.0
32.0	44.0
33.0	44.0
34.0	42.0
35.0	34.0
36.0	32.0
37.0	34.0
38.0	33.0
39.0	36.0
40.0	27.0
41.0	32.0
42.0	35.0
43.0	20.0
44.0	21.0
45.0	23.0
46.0	20.0
47.0	11.0
48.0	22.0
49.0	18.0
50.0	2244.0
