#Duplication rate	Coverage
1.0	13957.0
2.0	3620.0
3.0	1293.0
4.0	752.0
5.0	450.0
6.0	335.0
7.0	219.0
8.0	211.0
9.0	149.0
10.0	120.0
11.0	115.0
12.0	92.0
13.0	74.0
14.0	76.0
15.0	52.0
16.0	56.0
17.0	44.0
18.0	38.0
19.0	36.0
20.0	32.0
21.0	37.0
22.0	45.0
23.0	24.0
24.0	27.0
25.0	29.0
26.0	27.0
27.0	16.0
28.0	40.0
29.0	26.0
30.0	25.0
31.0	27.0
32.0	20.0
33.0	22.0
34.0	18.0
35.0	13.0
36.0	14.0
37.0	16.0
38.0	15.0
39.0	16.0
40.0	16.0
41.0	19.0
42.0	12.0
43.0	14.0
44.0	6.0
45.0	12.0
46.0	12.0
47.0	13.0
48.0	13.0
49.0	8.0
50.0	1377.0
