#Duplication rate	Coverage
1.0	16554.0
2.0	4313.0
3.0	1634.0
4.0	952.0
5.0	542.0
6.0	430.0
7.0	272.0
8.0	240.0
9.0	177.0
10.0	167.0
11.0	113.0
12.0	112.0
13.0	90.0
14.0	77.0
15.0	79.0
16.0	81.0
17.0	65.0
18.0	42.0
19.0	57.0
20.0	54.0
21.0	44.0
22.0	51.0
23.0	34.0
24.0	38.0
25.0	54.0
26.0	37.0
27.0	33.0
28.0	30.0
29.0	33.0
30.0	25.0
31.0	21.0
32.0	23.0
33.0	21.0
34.0	26.0
35.0	20.0
36.0	18.0
37.0	14.0
38.0	16.0
39.0	20.0
40.0	23.0
41.0	19.0
42.0	15.0
43.0	13.0
44.0	13.0
45.0	14.0
46.0	7.0
47.0	9.0
48.0	11.0
49.0	16.0
50.0	1420.0
