#Duplication rate	Coverage
1.0	27906.0
2.0	8322.0
3.0	3277.0
4.0	1939.0
5.0	1058.0
6.0	764.0
7.0	527.0
8.0	485.0
9.0	342.0
10.0	307.0
11.0	233.0
12.0	227.0
13.0	194.0
14.0	147.0
15.0	167.0
16.0	134.0
17.0	117.0
18.0	96.0
19.0	75.0
20.0	85.0
21.0	69.0
22.0	79.0
23.0	71.0
24.0	65.0
25.0	60.0
26.0	50.0
27.0	49.0
28.0	42.0
29.0	48.0
30.0	44.0
31.0	51.0
32.0	36.0
33.0	34.0
34.0	33.0
35.0	35.0
36.0	46.0
37.0	39.0
38.0	36.0
39.0	18.0
40.0	26.0
41.0	35.0
42.0	29.0
43.0	25.0
44.0	19.0
45.0	20.0
46.0	23.0
47.0	17.0
48.0	15.0
49.0	19.0
50.0	2142.0
