#Duplication rate	Coverage
1.0	1390.0
2.0	279.0
3.0	116.0
4.0	81.0
5.0	38.0
6.0	51.0
7.0	26.0
8.0	17.0
9.0	20.0
10.0	18.0
11.0	10.0
12.0	20.0
13.0	23.0
14.0	23.0
15.0	21.0
16.0	23.0
17.0	18.0
18.0	27.0
19.0	12.0
20.0	17.0
21.0	16.0
22.0	20.0
23.0	13.0
24.0	16.0
25.0	19.0
26.0	28.0
27.0	17.0
28.0	25.0
29.0	27.0
30.0	17.0
31.0	19.0
32.0	17.0
33.0	17.0
34.0	18.0
35.0	9.0
36.0	19.0
37.0	12.0
38.0	18.0
39.0	12.0
40.0	20.0
41.0	9.0
42.0	12.0
43.0	11.0
44.0	13.0
45.0	11.0
46.0	8.0
47.0	8.0
48.0	5.0
49.0	6.0
50.0	386.0
