#Duplication rate	Coverage
1.0	21251.0
2.0	5900.0
3.0	2277.0
4.0	1354.0
5.0	744.0
6.0	495.0
7.0	390.0
8.0	319.0
9.0	250.0
10.0	234.0
11.0	189.0
12.0	160.0
13.0	131.0
14.0	88.0
15.0	89.0
16.0	91.0
17.0	80.0
18.0	79.0
19.0	75.0
20.0	69.0
21.0	62.0
22.0	47.0
23.0	55.0
24.0	47.0
25.0	45.0
26.0	39.0
27.0	41.0
28.0	26.0
29.0	36.0
30.0	34.0
31.0	33.0
32.0	32.0
33.0	23.0
34.0	26.0
35.0	21.0
36.0	37.0
37.0	28.0
38.0	29.0
39.0	26.0
40.0	21.0
41.0	18.0
42.0	24.0
43.0	22.0
44.0	15.0
45.0	21.0
46.0	13.0
47.0	19.0
48.0	24.0
49.0	19.0
50.0	1687.0
