#Duplication rate	Coverage
1.0	11570.0
2.0	2688.0
3.0	954.0
4.0	536.0
5.0	353.0
6.0	255.0
7.0	177.0
8.0	180.0
9.0	142.0
10.0	116.0
11.0	94.0
12.0	65.0
13.0	71.0
14.0	76.0
15.0	68.0
16.0	53.0
17.0	46.0
18.0	41.0
19.0	44.0
20.0	44.0
21.0	30.0
22.0	29.0
23.0	27.0
24.0	25.0
25.0	19.0
26.0	24.0
27.0	24.0
28.0	22.0
29.0	21.0
30.0	13.0
31.0	16.0
32.0	13.0
33.0	17.0
34.0	8.0
35.0	10.0
36.0	11.0
37.0	8.0
38.0	15.0
39.0	10.0
40.0	12.0
41.0	14.0
42.0	10.0
43.0	10.0
44.0	11.0
45.0	4.0
46.0	8.0
47.0	7.0
48.0	9.0
49.0	12.0
50.0	1229.0
