#Duplication rate	Coverage
1.0	12263.0
2.0	2895.0
3.0	1002.0
4.0	602.0
5.0	389.0
6.0	280.0
7.0	179.0
8.0	152.0
9.0	128.0
10.0	102.0
11.0	93.0
12.0	82.0
13.0	72.0
14.0	69.0
15.0	55.0
16.0	57.0
17.0	60.0
18.0	37.0
19.0	35.0
20.0	30.0
21.0	39.0
22.0	33.0
23.0	28.0
24.0	36.0
25.0	25.0
26.0	28.0
27.0	23.0
28.0	19.0
29.0	28.0
30.0	17.0
31.0	17.0
32.0	18.0
33.0	10.0
34.0	11.0
35.0	9.0
36.0	11.0
37.0	15.0
38.0	11.0
39.0	12.0
40.0	9.0
41.0	13.0
42.0	4.0
43.0	8.0
44.0	6.0
45.0	5.0
46.0	10.0
47.0	6.0
48.0	11.0
49.0	9.0
50.0	1246.0
