#Duplication rate	Coverage
1.0	33330.0
2.0	10634.0
3.0	4451.0
4.0	2607.0
5.0	1475.0
6.0	1090.0
7.0	771.0
8.0	608.0
9.0	457.0
10.0	388.0
11.0	309.0
12.0	284.0
13.0	199.0
14.0	194.0
15.0	183.0
16.0	155.0
17.0	141.0
18.0	139.0
19.0	111.0
20.0	106.0
21.0	105.0
22.0	86.0
23.0	81.0
24.0	59.0
25.0	64.0
26.0	74.0
27.0	75.0
28.0	52.0
29.0	39.0
30.0	64.0
31.0	45.0
32.0	46.0
33.0	45.0
34.0	52.0
35.0	49.0
36.0	47.0
37.0	37.0
38.0	29.0
39.0	41.0
40.0	29.0
41.0	41.0
42.0	35.0
43.0	31.0
44.0	21.0
45.0	35.0
46.0	26.0
47.0	23.0
48.0	30.0
49.0	22.0
50.0	2428.0
