#Duplication rate	Coverage
1.0	20957.0
2.0	5612.0
3.0	2097.0
4.0	1170.0
5.0	659.0
6.0	483.0
7.0	383.0
8.0	285.0
9.0	223.0
10.0	189.0
11.0	180.0
12.0	146.0
13.0	138.0
14.0	98.0
15.0	99.0
16.0	81.0
17.0	69.0
18.0	78.0
19.0	70.0
20.0	73.0
21.0	51.0
22.0	57.0
23.0	43.0
24.0	50.0
25.0	48.0
26.0	40.0
27.0	38.0
28.0	41.0
29.0	36.0
30.0	40.0
31.0	32.0
32.0	27.0
33.0	29.0
34.0	37.0
35.0	36.0
36.0	21.0
37.0	19.0
38.0	28.0
39.0	18.0
40.0	27.0
41.0	19.0
42.0	18.0
43.0	20.0
44.0	16.0
45.0	23.0
46.0	11.0
47.0	18.0
48.0	14.0
49.0	20.0
50.0	1706.0
