#Duplication rate	Coverage
1.0	17092.0
2.0	4086.0
3.0	1543.0
4.0	849.0
5.0	506.0
6.0	424.0
7.0	271.0
8.0	208.0
9.0	208.0
10.0	185.0
11.0	158.0
12.0	112.0
13.0	86.0
14.0	75.0
15.0	72.0
16.0	76.0
17.0	68.0
18.0	48.0
19.0	50.0
20.0	46.0
21.0	56.0
22.0	48.0
23.0	35.0
24.0	49.0
25.0	41.0
26.0	37.0
27.0	34.0
28.0	35.0
29.0	28.0
30.0	28.0
31.0	18.0
32.0	23.0
33.0	27.0
34.0	26.0
35.0	14.0
36.0	19.0
37.0	15.0
38.0	17.0
39.0	13.0
40.0	18.0
41.0	25.0
42.0	11.0
43.0	19.0
44.0	18.0
45.0	15.0
46.0	7.0
47.0	13.0
48.0	9.0
49.0	12.0
50.0	1438.0
