#Duplication rate	Coverage
1.0	21432.0
2.0	5734.0
3.0	2185.0
4.0	1170.0
5.0	663.0
6.0	487.0
7.0	339.0
8.0	276.0
9.0	247.0
10.0	187.0
11.0	149.0
12.0	130.0
13.0	117.0
14.0	129.0
15.0	84.0
16.0	81.0
17.0	76.0
18.0	73.0
19.0	58.0
20.0	60.0
21.0	57.0
22.0	46.0
23.0	46.0
24.0	46.0
25.0	41.0
26.0	52.0
27.0	42.0
28.0	38.0
29.0	22.0
30.0	33.0
31.0	33.0
32.0	29.0
33.0	25.0
34.0	29.0
35.0	30.0
36.0	25.0
37.0	18.0
38.0	30.0
39.0	26.0
40.0	20.0
41.0	15.0
42.0	15.0
43.0	22.0
44.0	24.0
45.0	18.0
46.0	17.0
47.0	26.0
48.0	13.0
49.0	13.0
50.0	1750.0
