#Duplication rate	Coverage
1.0	24297.0
2.0	7176.0
3.0	2629.0
4.0	1626.0
5.0	903.0
6.0	701.0
7.0	492.0
8.0	411.0
9.0	278.0
10.0	255.0
11.0	205.0
12.0	190.0
13.0	138.0
14.0	112.0
15.0	105.0
16.0	127.0
17.0	101.0
18.0	83.0
19.0	80.0
20.0	75.0
21.0	71.0
22.0	67.0
23.0	53.0
24.0	53.0
25.0	51.0
26.0	42.0
27.0	49.0
28.0	31.0
29.0	43.0
30.0	47.0
31.0	35.0
32.0	42.0
33.0	42.0
34.0	35.0
35.0	22.0
36.0	30.0
37.0	30.0
38.0	24.0
39.0	23.0
40.0	30.0
41.0	30.0
42.0	33.0
43.0	28.0
44.0	19.0
45.0	24.0
46.0	20.0
47.0	19.0
48.0	22.0
49.0	14.0
50.0	1973.0
