#Duplication rate	Coverage
1.0	19481.0
2.0	5084.0
3.0	1732.0
4.0	1170.0
5.0	614.0
6.0	495.0
7.0	344.0
8.0	283.0
9.0	202.0
10.0	190.0
11.0	153.0
12.0	148.0
13.0	107.0
14.0	123.0
15.0	85.0
16.0	92.0
17.0	66.0
18.0	73.0
19.0	68.0
20.0	53.0
21.0	46.0
22.0	45.0
23.0	50.0
24.0	58.0
25.0	43.0
26.0	30.0
27.0	41.0
28.0	31.0
29.0	36.0
30.0	33.0
31.0	25.0
32.0	29.0
33.0	29.0
34.0	24.0
35.0	17.0
36.0	18.0
37.0	19.0
38.0	19.0
39.0	16.0
40.0	18.0
41.0	19.0
42.0	16.0
43.0	15.0
44.0	24.0
45.0	17.0
46.0	23.0
47.0	17.0
48.0	20.0
49.0	16.0
50.0	1658.0
