#Duplication rate	Coverage
1.0	15374.0
2.0	3706.0
3.0	1294.0
4.0	718.0
5.0	441.0
6.0	310.0
7.0	230.0
8.0	199.0
9.0	164.0
10.0	130.0
11.0	140.0
12.0	109.0
13.0	86.0
14.0	84.0
15.0	85.0
16.0	76.0
17.0	63.0
18.0	53.0
19.0	39.0
20.0	53.0
21.0	42.0
22.0	41.0
23.0	44.0
24.0	36.0
25.0	41.0
26.0	28.0
27.0	34.0
28.0	36.0
29.0	22.0
30.0	24.0
31.0	25.0
32.0	16.0
33.0	27.0
34.0	21.0
35.0	24.0
36.0	16.0
37.0	17.0
38.0	13.0
39.0	11.0
40.0	12.0
41.0	19.0
42.0	10.0
43.0	9.0
44.0	16.0
45.0	13.0
46.0	9.0
47.0	14.0
48.0	16.0
49.0	5.0
50.0	1383.0
