#Duplication rate	Coverage
1.0	1227.0
2.0	223.0
3.0	79.0
4.0	53.0
5.0	31.0
6.0	22.0
7.0	20.0
8.0	42.0
9.0	13.0
10.0	17.0
11.0	10.0
12.0	12.0
13.0	17.0
14.0	11.0
15.0	21.0
16.0	21.0
17.0	7.0
18.0	18.0
19.0	16.0
20.0	9.0
21.0	12.0
22.0	17.0
23.0	16.0
24.0	13.0
25.0	20.0
26.0	23.0
27.0	29.0
28.0	29.0
29.0	16.0
30.0	19.0
31.0	20.0
32.0	27.0
33.0	19.0
34.0	16.0
35.0	16.0
36.0	16.0
37.0	18.0
38.0	20.0
39.0	15.0
40.0	19.0
41.0	19.0
42.0	10.0
43.0	11.0
44.0	14.0
45.0	14.0
46.0	16.0
47.0	13.0
48.0	15.0
49.0	9.0
50.0	367.0
