#Duplication rate	Coverage
1.0	18378.0
2.0	4899.0
3.0	1794.0
4.0	1074.0
5.0	600.0
6.0	472.0
7.0	323.0
8.0	248.0
9.0	185.0
10.0	173.0
11.0	134.0
12.0	133.0
13.0	92.0
14.0	97.0
15.0	78.0
16.0	80.0
17.0	71.0
18.0	67.0
19.0	71.0
20.0	67.0
21.0	48.0
22.0	50.0
23.0	37.0
24.0	36.0
25.0	34.0
26.0	29.0
27.0	34.0
28.0	38.0
29.0	36.0
30.0	25.0
31.0	29.0
32.0	20.0
33.0	32.0
34.0	16.0
35.0	21.0
36.0	22.0
37.0	19.0
38.0	20.0
39.0	11.0
40.0	19.0
41.0	14.0
42.0	19.0
43.0	23.0
44.0	12.0
45.0	24.0
46.0	12.0
47.0	17.0
48.0	13.0
49.0	10.0
50.0	1573.0
