#Duplication rate	Coverage
1.0	16093.0
2.0	3912.0
3.0	1424.0
4.0	762.0
5.0	466.0
6.0	356.0
7.0	246.0
8.0	249.0
9.0	171.0
10.0	155.0
11.0	116.0
12.0	99.0
13.0	94.0
14.0	93.0
15.0	83.0
16.0	69.0
17.0	71.0
18.0	58.0
19.0	56.0
20.0	45.0
21.0	56.0
22.0	49.0
23.0	46.0
24.0	37.0
25.0	35.0
26.0	36.0
27.0	29.0
28.0	24.0
29.0	27.0
30.0	14.0
31.0	28.0
32.0	20.0
33.0	25.0
34.0	14.0
35.0	20.0
36.0	14.0
37.0	25.0
38.0	23.0
39.0	12.0
40.0	10.0
41.0	17.0
42.0	18.0
43.0	20.0
44.0	22.0
45.0	9.0
46.0	15.0
47.0	13.0
48.0	14.0
49.0	7.0
50.0	1449.0
