#Duplication rate	Coverage
1.0	11577.0
2.0	2610.0
3.0	941.0
4.0	543.0
5.0	361.0
6.0	249.0
7.0	169.0
8.0	144.0
9.0	133.0
10.0	104.0
11.0	90.0
12.0	80.0
13.0	68.0
14.0	66.0
15.0	63.0
16.0	60.0
17.0	49.0
18.0	38.0
19.0	43.0
20.0	31.0
21.0	37.0
22.0	30.0
23.0	29.0
24.0	30.0
25.0	23.0
26.0	27.0
27.0	17.0
28.0	33.0
29.0	16.0
30.0	13.0
31.0	14.0
32.0	13.0
33.0	13.0
34.0	12.0
35.0	14.0
36.0	15.0
37.0	13.0
38.0	9.0
39.0	13.0
40.0	7.0
41.0	6.0
42.0	10.0
43.0	8.0
44.0	9.0
45.0	6.0
46.0	7.0
47.0	2.0
48.0	6.0
49.0	7.0
50.0	1222.0
