#Duplication rate	Coverage
1.0	20360.0
2.0	5284.0
3.0	2043.0
4.0	1190.0
5.0	693.0
6.0	491.0
7.0	303.0
8.0	272.0
9.0	256.0
10.0	191.0
11.0	155.0
12.0	127.0
13.0	104.0
14.0	115.0
15.0	91.0
16.0	87.0
17.0	67.0
18.0	60.0
19.0	74.0
20.0	57.0
21.0	61.0
22.0	42.0
23.0	47.0
24.0	46.0
25.0	39.0
26.0	41.0
27.0	35.0
28.0	37.0
29.0	33.0
30.0	38.0
31.0	39.0
32.0	24.0
33.0	23.0
34.0	19.0
35.0	13.0
36.0	27.0
37.0	31.0
38.0	23.0
39.0	18.0
40.0	14.0
41.0	19.0
42.0	18.0
43.0	22.0
44.0	12.0
45.0	13.0
46.0	18.0
47.0	14.0
48.0	19.0
49.0	15.0
50.0	1688.0
