#Duplication rate	Coverage
1.0	8681.0
2.0	2003.0
3.0	774.0
4.0	416.0
5.0	221.0
6.0	217.0
7.0	167.0
8.0	146.0
9.0	94.0
10.0	89.0
11.0	79.0
12.0	69.0
13.0	53.0
14.0	48.0
15.0	44.0
16.0	43.0
17.0	28.0
18.0	24.0
19.0	16.0
20.0	24.0
21.0	25.0
22.0	18.0
23.0	22.0
24.0	31.0
25.0	13.0
26.0	18.0
27.0	18.0
28.0	24.0
29.0	5.0
30.0	16.0
31.0	5.0
32.0	11.0
33.0	10.0
34.0	11.0
35.0	6.0
36.0	9.0
37.0	11.0
38.0	7.0
39.0	12.0
40.0	7.0
41.0	8.0
42.0	12.0
43.0	8.0
44.0	3.0
45.0	4.0
46.0	9.0
47.0	5.0
48.0	2.0
49.0	1.0
50.0	1147.0
