#Duplication rate	Coverage
1.0	12905.0
2.0	3007.0
3.0	1064.0
4.0	641.0
5.0	387.0
6.0	287.0
7.0	196.0
8.0	169.0
9.0	138.0
10.0	130.0
11.0	93.0
12.0	110.0
13.0	64.0
14.0	69.0
15.0	43.0
16.0	60.0
17.0	58.0
18.0	48.0
19.0	43.0
20.0	41.0
21.0	41.0
22.0	34.0
23.0	44.0
24.0	19.0
25.0	27.0
26.0	29.0
27.0	28.0
28.0	20.0
29.0	24.0
30.0	20.0
31.0	24.0
32.0	18.0
33.0	20.0
34.0	21.0
35.0	19.0
36.0	20.0
37.0	17.0
38.0	9.0
39.0	12.0
40.0	15.0
41.0	7.0
42.0	10.0
43.0	14.0
44.0	12.0
45.0	9.0
46.0	9.0
47.0	11.0
48.0	8.0
49.0	3.0
50.0	1272.0
