#Duplication rate	Coverage
1.0	16580.0
2.0	4174.0
3.0	1511.0
4.0	846.0
5.0	479.0
6.0	383.0
7.0	282.0
8.0	233.0
9.0	183.0
10.0	148.0
11.0	122.0
12.0	114.0
13.0	91.0
14.0	91.0
15.0	75.0
16.0	70.0
17.0	68.0
18.0	60.0
19.0	58.0
20.0	54.0
21.0	53.0
22.0	38.0
23.0	48.0
24.0	37.0
25.0	43.0
26.0	35.0
27.0	35.0
28.0	44.0
29.0	27.0
30.0	30.0
31.0	17.0
32.0	16.0
33.0	12.0
34.0	12.0
35.0	17.0
36.0	18.0
37.0	15.0
38.0	22.0
39.0	17.0
40.0	22.0
41.0	13.0
42.0	18.0
43.0	16.0
44.0	18.0
45.0	11.0
46.0	7.0
47.0	11.0
48.0	17.0
49.0	12.0
50.0	1479.0
