#Duplication rate	Coverage
1.0	16375.0
2.0	4137.0
3.0	1464.0
4.0	831.0
5.0	496.0
6.0	372.0
7.0	262.0
8.0	223.0
9.0	174.0
10.0	159.0
11.0	120.0
12.0	93.0
13.0	81.0
14.0	81.0
15.0	75.0
16.0	77.0
17.0	54.0
18.0	67.0
19.0	57.0
20.0	41.0
21.0	46.0
22.0	46.0
23.0	34.0
24.0	29.0
25.0	31.0
26.0	32.0
27.0	24.0
28.0	26.0
29.0	22.0
30.0	18.0
31.0	24.0
32.0	27.0
33.0	22.0
34.0	19.0
35.0	20.0
36.0	20.0
37.0	17.0
38.0	20.0
39.0	12.0
40.0	13.0
41.0	14.0
42.0	19.0
43.0	18.0
44.0	5.0
45.0	7.0
46.0	13.0
47.0	12.0
48.0	13.0
49.0	13.0
50.0	1388.0
