#Duplication rate	Coverage
1.0	26814.0
2.0	8223.0
3.0	3339.0
4.0	1989.0
5.0	1136.0
6.0	807.0
7.0	546.0
8.0	430.0
9.0	332.0
10.0	309.0
11.0	234.0
12.0	211.0
13.0	181.0
14.0	154.0
15.0	142.0
16.0	119.0
17.0	124.0
18.0	129.0
19.0	89.0
20.0	105.0
21.0	66.0
22.0	69.0
23.0	63.0
24.0	65.0
25.0	64.0
26.0	58.0
27.0	50.0
28.0	51.0
29.0	34.0
30.0	47.0
31.0	34.0
32.0	31.0
33.0	25.0
34.0	24.0
35.0	32.0
36.0	22.0
37.0	22.0
38.0	42.0
39.0	22.0
40.0	41.0
41.0	23.0
42.0	26.0
43.0	25.0
44.0	28.0
45.0	29.0
46.0	23.0
47.0	20.0
48.0	23.0
49.0	30.0
50.0	2093.0
