#Duplication rate	Coverage
1.0	14637.0
2.0	3587.0
3.0	1239.0
4.0	741.0
5.0	449.0
6.0	309.0
7.0	249.0
8.0	175.0
9.0	156.0
10.0	139.0
11.0	116.0
12.0	93.0
13.0	100.0
14.0	74.0
15.0	64.0
16.0	77.0
17.0	61.0
18.0	51.0
19.0	47.0
20.0	48.0
21.0	42.0
22.0	42.0
23.0	35.0
24.0	38.0
25.0	27.0
26.0	22.0
27.0	25.0
28.0	22.0
29.0	28.0
30.0	11.0
31.0	25.0
32.0	18.0
33.0	18.0
34.0	21.0
35.0	20.0
36.0	20.0
37.0	14.0
38.0	11.0
39.0	14.0
40.0	9.0
41.0	11.0
42.0	15.0
43.0	8.0
44.0	4.0
45.0	11.0
46.0	12.0
47.0	14.0
48.0	9.0
49.0	11.0
50.0	1342.0
