#Duplication rate	Coverage
1.0	26190.0
2.0	7535.0
3.0	3128.0
4.0	1662.0
5.0	997.0
6.0	716.0
7.0	519.0
8.0	399.0
9.0	303.0
10.0	263.0
11.0	219.0
12.0	164.0
13.0	151.0
14.0	144.0
15.0	135.0
16.0	110.0
17.0	108.0
18.0	88.0
19.0	90.0
20.0	69.0
21.0	64.0
22.0	62.0
23.0	57.0
24.0	45.0
25.0	53.0
26.0	43.0
27.0	46.0
28.0	43.0
29.0	49.0
30.0	39.0
31.0	38.0
32.0	56.0
33.0	36.0
34.0	37.0
35.0	33.0
36.0	28.0
37.0	38.0
38.0	30.0
39.0	32.0
40.0	24.0
41.0	29.0
42.0	22.0
43.0	27.0
44.0	25.0
45.0	24.0
46.0	25.0
47.0	27.0
48.0	22.0
49.0	24.0
50.0	2003.0
