#Duplication rate	Coverage
1.0	28985.0
2.0	9029.0
3.0	3730.0
4.0	2061.0
5.0	1154.0
6.0	927.0
7.0	670.0
8.0	486.0
9.0	344.0
10.0	327.0
11.0	263.0
12.0	233.0
13.0	189.0
14.0	147.0
15.0	169.0
16.0	146.0
17.0	124.0
18.0	99.0
19.0	101.0
20.0	65.0
21.0	82.0
22.0	68.0
23.0	54.0
24.0	64.0
25.0	70.0
26.0	51.0
27.0	58.0
28.0	49.0
29.0	57.0
30.0	54.0
31.0	40.0
32.0	38.0
33.0	42.0
34.0	34.0
35.0	34.0
36.0	27.0
37.0	29.0
38.0	38.0
39.0	35.0
40.0	34.0
41.0	33.0
42.0	18.0
43.0	23.0
44.0	31.0
45.0	20.0
46.0	12.0
47.0	26.0
48.0	20.0
49.0	17.0
50.0	2300.0
