#Duplication rate	Coverage
1.0	30437.0
2.0	9423.0
3.0	3981.0
4.0	2226.0
5.0	1364.0
6.0	875.0
7.0	671.0
8.0	522.0
9.0	383.0
10.0	325.0
11.0	270.0
12.0	220.0
13.0	212.0
14.0	196.0
15.0	164.0
16.0	137.0
17.0	129.0
18.0	130.0
19.0	103.0
20.0	96.0
21.0	94.0
22.0	90.0
23.0	68.0
24.0	79.0
25.0	54.0
26.0	59.0
27.0	58.0
28.0	57.0
29.0	55.0
30.0	49.0
31.0	52.0
32.0	41.0
33.0	42.0
34.0	27.0
35.0	40.0
36.0	32.0
37.0	41.0
38.0	25.0
39.0	22.0
40.0	23.0
41.0	35.0
42.0	28.0
43.0	25.0
44.0	20.0
45.0	27.0
46.0	35.0
47.0	25.0
48.0	22.0
49.0	19.0
50.0	2403.0
