#Duplication rate	Coverage
1.0	1519.0
2.0	319.0
3.0	102.0
4.0	55.0
5.0	45.0
6.0	22.0
7.0	22.0
8.0	19.0
9.0	8.0
10.0	14.0
11.0	14.0
12.0	9.0
13.0	10.0
14.0	15.0
15.0	14.0
16.0	17.0
17.0	12.0
18.0	8.0
19.0	6.0
20.0	11.0
21.0	12.0
22.0	11.0
23.0	10.0
24.0	13.0
25.0	12.0
26.0	8.0
27.0	6.0
28.0	5.0
29.0	8.0
30.0	12.0
31.0	7.0
32.0	15.0
33.0	13.0
34.0	18.0
35.0	13.0
36.0	13.0
37.0	19.0
38.0	15.0
39.0	14.0
40.0	21.0
41.0	16.0
42.0	12.0
43.0	15.0
44.0	18.0
45.0	9.0
46.0	15.0
47.0	11.0
48.0	14.0
49.0	11.0
50.0	597.0
