#Duplication rate	Coverage
1.0	1025.0
2.0	207.0
3.0	68.0
4.0	58.0
5.0	23.0
6.0	33.0
7.0	21.0
8.0	37.0
9.0	16.0
10.0	31.0
11.0	21.0
12.0	24.0
13.0	22.0
14.0	32.0
15.0	28.0
16.0	33.0
17.0	34.0
18.0	24.0
19.0	26.0
20.0	26.0
21.0	28.0
22.0	31.0
23.0	14.0
24.0	19.0
25.0	24.0
26.0	24.0
27.0	13.0
28.0	19.0
29.0	15.0
30.0	11.0
31.0	21.0
32.0	11.0
33.0	10.0
34.0	20.0
35.0	15.0
36.0	13.0
37.0	14.0
38.0	14.0
39.0	8.0
40.0	6.0
41.0	5.0
42.0	12.0
43.0	5.0
44.0	6.0
45.0	5.0
46.0	10.0
47.0	10.0
48.0	7.0
49.0	9.0
50.0	254.0
