#Duplication rate	Coverage
1.0	15921.0
2.0	3721.0
3.0	1440.0
4.0	796.0
5.0	468.0
6.0	366.0
7.0	257.0
8.0	231.0
9.0	170.0
10.0	139.0
11.0	123.0
12.0	101.0
13.0	101.0
14.0	88.0
15.0	74.0
16.0	67.0
17.0	65.0
18.0	61.0
19.0	56.0
20.0	51.0
21.0	44.0
22.0	45.0
23.0	45.0
24.0	35.0
25.0	32.0
26.0	44.0
27.0	31.0
28.0	30.0
29.0	22.0
30.0	22.0
31.0	39.0
32.0	25.0
33.0	23.0
34.0	13.0
35.0	18.0
36.0	22.0
37.0	20.0
38.0	11.0
39.0	10.0
40.0	14.0
41.0	20.0
42.0	20.0
43.0	14.0
44.0	13.0
45.0	9.0
46.0	14.0
47.0	17.0
48.0	16.0
49.0	5.0
50.0	1441.0
