#Duplication rate	Coverage
1.0	9310.0
2.0	2046.0
3.0	789.0
4.0	408.0
5.0	296.0
6.0	176.0
7.0	151.0
8.0	128.0
9.0	113.0
10.0	87.0
11.0	73.0
12.0	64.0
13.0	55.0
14.0	45.0
15.0	51.0
16.0	32.0
17.0	38.0
18.0	38.0
19.0	31.0
20.0	22.0
21.0	11.0
22.0	18.0
23.0	19.0
24.0	18.0
25.0	17.0
26.0	13.0
27.0	14.0
28.0	17.0
29.0	17.0
30.0	8.0
31.0	8.0
32.0	9.0
33.0	10.0
34.0	11.0
35.0	6.0
36.0	11.0
37.0	9.0
38.0	8.0
39.0	4.0
40.0	8.0
41.0	3.0
42.0	4.0
43.0	3.0
44.0	6.0
45.0	3.0
46.0	3.0
47.0	5.0
48.0	1.0
49.0	1.0
50.0	1154.0
