#Duplication rate	Coverage
1.0	4525.0
2.0	1046.0
3.0	419.0
4.0	248.0
5.0	134.0
6.0	113.0
7.0	68.0
8.0	60.0
9.0	43.0
10.0	48.0
11.0	27.0
12.0	26.0
13.0	29.0
14.0	27.0
15.0	21.0
16.0	20.0
17.0	17.0
18.0	13.0
19.0	13.0
20.0	9.0
21.0	16.0
22.0	18.0
23.0	16.0
24.0	14.0
25.0	14.0
26.0	7.0
27.0	14.0
28.0	6.0
29.0	8.0
30.0	6.0
31.0	8.0
32.0	9.0
33.0	5.0
34.0	8.0
35.0	8.0
36.0	7.0
37.0	4.0
38.0	6.0
39.0	5.0
40.0	6.0
41.0	5.0
42.0	5.0
43.0	8.0
44.0	7.0
45.0	5.0
46.0	8.0
47.0	5.0
48.0	5.0
49.0	3.0
50.0	1021.0
