#Duplication rate	Coverage
1.0	10012.0
2.0	2390.0
3.0	790.0
4.0	492.0
5.0	303.0
6.0	236.0
7.0	152.0
8.0	159.0
9.0	98.0
10.0	114.0
11.0	85.0
12.0	80.0
13.0	52.0
14.0	51.0
15.0	37.0
16.0	46.0
17.0	37.0
18.0	23.0
19.0	31.0
20.0	45.0
21.0	21.0
22.0	29.0
23.0	33.0
24.0	18.0
25.0	27.0
26.0	25.0
27.0	19.0
28.0	26.0
29.0	12.0
30.0	16.0
31.0	15.0
32.0	7.0
33.0	11.0
34.0	13.0
35.0	8.0
36.0	3.0
37.0	13.0
38.0	13.0
39.0	8.0
40.0	4.0
41.0	9.0
42.0	8.0
43.0	3.0
44.0	6.0
45.0	6.0
46.0	6.0
47.0	11.0
48.0	6.0
49.0	13.0
50.0	1179.0
