#Duplication rate	Coverage
1.0	21971.0
2.0	6288.0
3.0	2346.0
4.0	1313.0
5.0	766.0
6.0	611.0
7.0	362.0
8.0	347.0
9.0	250.0
10.0	219.0
11.0	150.0
12.0	166.0
13.0	125.0
14.0	135.0
15.0	102.0
16.0	107.0
17.0	70.0
18.0	74.0
19.0	61.0
20.0	65.0
21.0	66.0
22.0	65.0
23.0	34.0
24.0	54.0
25.0	49.0
26.0	49.0
27.0	45.0
28.0	36.0
29.0	50.0
30.0	37.0
31.0	47.0
32.0	43.0
33.0	29.0
34.0	32.0
35.0	28.0
36.0	20.0
37.0	25.0
38.0	22.0
39.0	24.0
40.0	20.0
41.0	22.0
42.0	21.0
43.0	27.0
44.0	18.0
45.0	17.0
46.0	17.0
47.0	13.0
48.0	18.0
49.0	14.0
50.0	1812.0
